Manufaktur,IntelCore,generasi_prosesor,kecepatan_prosesor,Ram,HDD,SSD,Graphics,Ukuran_Layar,Harga
Dell,3,7,2.29,4,1000,0,0,15.6,3905700
Dell,3,7,2.3,4,1000,0,0,15.6,4514100
HP,3,7,2.3,8,256,256,0,14,3599900
ASUS,3,7,2.3,4,1000,0,0,14,3999000
HP,3,7,2.4,4,1000,0,0,15.6,3626300
HP,2,4,2.3,4,500,256,0,14,2640300
Lenovo,3,7,2.3,4,1000,0,0,15.6,3829000
HP,5,8,1.6,8,1000,0,0,14,5355400
Lenovo,1,3,1.8,4,1000,0,0,15.6,2999000
Dell,3,8,3.9,4,1000,0,0,14,3809000
HP,3,7,2.3,8,1000,0,0,15.6,4219200
Lenovo,2,5,2.3,4,1000,0,0,15.6,3489000
HP,3,7,2.3,4,1000,0,0,14,3390500
Lenovo,3,8,2.1,4,1000,0,0,15.6,4259000
Lenovo,3,8,2.1,8,1000,0,0,15.6,4539000
HP,3,7,2.3,8,1000,0,0,15.6,4033800
ASUS,5,8,1.6,8,512,512,0,15.6,5699000
Lenovo,1,3,1.8,4,1000,0,0,15.6,3069000
HP,3,7,2.4,4,1000,0,0,15.6,3563400
HP,5,9,2.4,8,1000,256,4,15.6,7493100
ASUS,5,9,2.1,8,1000,512,4,15.6,9799000
HP,5,9,2.4,8,1000,0,4,15.6,6907100
ASUS,7,8,2.2,8,1000,16,4,15.6,10999900
Lenovo,7,9,2.6,8,1000,256,4,15.6,11889000
Lenovo,7,9,2.6,16,1000,256,4,15.6,12869000
Lenovo,7,9,2.6,8,1000,512,4,15.6,11889000
Lenovo,5,9,2.4,8,1000,256,3,15.6,9299000
ASUS,7,9,2.6,32,1000,512,8,17.3,40299000
HP,7,9,2.6,8,1000,256,4,15.6,9955500
